Date,Count,Total,Time,Time of Day,Words per Minute,Times per Day
11/1/2022,1720,1720,35,Afternoon,49.14285714,1
11/2/2022,,1720,,,,0
11/3/2022,2372,4092,120,Afternoon,19.76666667,1
11/4/2022,2013,6105,80,Afternoon,25.1625,1
11/5/2022,1793,7898,90,Afternoon,19.92222222,1
11/6/2022,2525,10423,120,Morning,21.04166667,1
11/7/2022,1811,12234,100,Afternoon,18.11,1
11/8/2022,,,,,,
11/9/2022,,,,,,
11/10/2022,,,,,,
11/11/2022,,,,,,
11/12/2022,,,,,,
11/13/2022,,,,,,
11/14/2022,,,,,,
11/15/2022,,,,,,
11/16/2022,,,,,,
11/17/2022,,,,,,
11/18/2022,,,,,,
11/19/2022,,,,,,
11/20/2022,,,,,,
11/21/2022,,,,,,
11/22/2022,,,,,,
11/23/2022,,,,,,
11/24/2022,,,,,,
11/25/2022,,,,,,
11/26/2022,,,,,,
11/27/2022,,,,,,
11/28/2022,,,,,,
11/29/2022,,,,,,
11/30/2022,,,,,,
